,Rank,Word,WPM,Raw,Accuracy,Amt. Typed,Rel. (%)
,1,set,250.00,250.00,1.00,1,155.19
,2,know,232.31,232.31,1.00,2,144.21
,3,how,218.00,218.00,1.00,1,135.33
,4,few,215.00,215.00,1.00,1,133.47
,5,group,206.18,206.18,1.00,2,127.99
,6,this,194.00,194.00,1.00,1,120.43
,7,when,194.00,194.00,1.00,1,120.43
,8,come,193.28,193.28,1.00,2,119.98
,9,very,191.00,191.00,1.00,1,118.57
,10,who,191.00,191.00,1.00,1,118.57
,11,we,190.00,190.00,1.00,1,117.95
,12,since,186.00,186.00,1.00,1,115.46
,13,up,186.00,186.00,1.00,1,115.46
,14,thing,184.96,184.96,1.00,3,114.82
,15,some,183.00,183.00,1.00,1,113.60
,16,those,183.00,183.00,1.00,1,113.60
,17,ask,180.00,180.00,1.00,2,111.74
,18,for,180.00,180.00,1.00,1,111.74
,19,year,179.99,179.99,1.00,2,111.73
,20,hand,179.80,179.80,1.00,2,111.61
,21,from,178.00,178.00,1.00,1,110.50
,22,way,178.00,178.00,1.00,1,110.50
,23,work,178.00,178.00,1.00,1,110.50
,24,right,176.19,176.19,1.00,3,109.37
,25,should,175.57,175.57,1.00,3,108.99
,26,number,175.00,175.00,1.00,1,108.63
,27,through,175.00,175.00,1.00,1,108.63
,28,last,172.00,172.00,1.00,1,106.77
,29,under,172.00,172.00,1.00,1,106.77
,30,find,171.00,171.00,1.00,1,106.15
,31,make,171.00,171.00,1.00,1,106.15
,32,program,170.46,170.46,1.00,2,105.82
,33,have,170.00,170.00,1.00,1,105.53
,34,you,170.00,170.00,1.00,1,105.53
,35,life,169.95,169.95,1.00,2,105.50
,36,help,168.95,168.95,1.00,2,104.88
,37,get,168.42,168.42,1.00,2,104.55
,38,would,167.00,167.00,1.00,1,103.67
,39,she,166.00,166.00,1.00,1,103.05
,40,turn,166.00,166.00,1.00,1,103.05
,41,word,166.00,166.00,1.00,1,103.05
,42,there,165.46,165.46,1.00,2,102.71
,43,can,165.00,165.00,1.00,1,102.43
,44,person,163.39,163.39,1.00,2,101.43
,45,keep,163.00,163.00,1.00,1,101.19
,46,over,163.00,163.00,1.00,1,101.19
,47,possible,162.46,162.46,1.00,2,100.85
,48,show,161.25,161.25,1.00,3,100.10
,49,need,160.00,160.00,1.00,1,99.32
,50,on,159.00,159.00,1.00,1,98.70
,51,problem,158.00,158.00,1.00,1,98.08
,52,could,157.00,157.00,1.00,1,97.46
,53,must,156.00,156.00,1.00,3,96.84
,54,well,155.22,155.22,1.00,2,96.36
,55,line,155.00,155.00,1.00,1,96.22
,56,govern,153.30,153.30,1.00,2,95.16
,57,home,153.14,153.14,1.00,2,95.06
,58,change,153.00,153.00,1.00,1,94.98
,59,these,152.94,152.94,1.00,2,94.94
,60,of,152.00,152.00,1.00,1,94.36
,61,consider,151.96,151.96,1.00,3,94.33
,62,little,151.00,151.00,1.00,1,93.74
,63,and,150.00,150.00,1.00,1,93.12
,64,man,150.00,150.00,1.00,1,93.12
,65,both,149.29,149.29,1.00,2,92.67
,66,play,149.00,149.00,1.00,1,92.49
,67,such,148.56,148.56,1.00,3,92.22
,68,interest,148.00,148.00,1.00,1,91.87
,69,world,147.08,147.08,1.00,2,91.30
,70,he,146.00,146.00,1.00,1,90.63
,71,small,146.00,146.00,1.00,1,90.63
,72,off,145.00,145.00,1.00,1,90.01
,73,take,145.00,145.00,1.00,1,90.01
,74,as,144.01,144.01,1.00,2,89.40
,75,lead,144.00,144.00,1.00,1,89.39
,76,new,142.02,142.02,1.00,2,88.16
,77,long,142.00,142.00,1.00,1,88.15
,78,will,141.75,141.75,1.00,2,87.99
,79,public,141.36,141.36,1.00,2,87.75
,80,leave,138.74,138.74,1.00,2,86.13
,81,hold,138.00,138.00,1.00,1,85.67
,82,develop,137.00,137.00,1.00,1,85.05
,83,stand,136.00,136.00,1.00,1,84.42
,84,increase,134.00,134.00,1.00,1,83.18
,85,seem,134.00,134.00,1.00,1,83.18
,86,only,131.00,131.00,1.00,1,81.32
,87,if,126.00,126.00,1.00,1,78.22
,88,more,126.00,126.00,1.00,1,78.22
,89,old,126.00,126.00,1.00,1,78.22
,90,present,124.00,124.00,1.00,1,76.98
,91,go,118.00,118.00,1.00,1,73.25
,92,never,117.00,117.00,1.00,1,72.63
,93,fact,112.00,112.00,1.00,1,69.53
,94,so,108.57,108.57,1.00,2,67.40
,95,about,85.00,85.00,1.00,1,52.77
,,the,,,,,
,,be,,,,,
,,a,,,,,
,,to,,,,,
,,in,,,,,
,,it,,,,,
,,that,,,,,
,,they,,,,,
,,with,,,,,
,,not,,,,,
,,at,,,,,
,,by,,,,,
,,do,,,,,
,,but,,,,,
,,or,,,,,
,,which,,,,,
,,one,,,,,
,,all,,,,,
,,say,,,,,
,,no,,,,,
,,out,,,,,
,,other,,,,,
,,what,,,,,
,,time,,,,,
,,than,,,,,
,,into,,,,,
,,state,,,,,
,,see,,,,,
,,use,,,,,
,,like,,,,,
,,then,,,,,
,,first,,,,,
,,any,,,,,
,,now,,,,,
,,may,,,,,
,,give,,,,,
,,think,,,,,
,,most,,,,,
,,even,,,,,
,,day,,,,,
,,also,,,,,
,,after,,,,,
,,many,,,,,
,,look,,,,,
,,before,,,,,
,,great,,,,,
,,back,,,,,
,,where,,,,,
,,much,,,,,
,,people,,,,,
,,down,,,,,
,,own,,,,,
,,just,,,,,
,,because,,,,,
,,good,,,,,
,,each,,,,,
,,feel,,,,,
,,high,,,,,
,,too,,,,,
,,place,,,,,
,,still,,,,,
,,nation,,,,,
,,tell,,,,,
,,write,,,,,
,,become,,,,,
,,here,,,,,
,,house,,,,,
,,between,,,,,
,,mean,,,,,
,,call,,,,,
,,move,,,,,
,,general,,,,,
,,school,,,,,
,,same,,,,,
,,another,,,,,
,,begin,,,,,
,,while,,,,,
,,part,,,,,
,,real,,,,,
,,might,,,,,
,,want,,,,,
,,point,,,,,
,,form,,,,,
,,child,,,,,
,,against,,,,,
,,late,,,,,
,,large,,,,,
,,end,,,,,
,,open,,,,,
,,follow,,,,,
,,during,,,,,
,,without,,,,,
,,again,,,,,
,,around,,,,,
,,head,,,,,
,,however,,,,,
,,system,,,,,
,,order,,,,,
,,eye,,,,,
,,plan,,,,,
,,run,,,,,
,,face,,,,,
,,early,,,,,
,,course,,,,,